object_id,category,title,caption,image_file_path
GSFC_20171208_Archive_e001454,planet,Hubble Uncovers Evidence of Farthest Planet Forming From its Star,"Astronomers using NASA's Hubble Space Telescope have found compelling evidence of a planet forming 7.5 billion miles away from its star, a finding that may challenge current theories about planet formation.  Of the almost 900 planets outside our solar system that have been confirmed to date, this is the first to be found at such a great distance from its star. The suspected planet is orbiting the diminutive red dwarf TW Hydrae, a popular astronomy target located 176 light-years away from Earth in the constellation Hydra the Sea Serpent.  Read more: <a href=""http://1.usa.gov/196B6lZ"" rel=""nofollow"">1.usa.gov/196B6lZ</a>  NASA, ESA, J. Debes (STScI), H. Jang-Condell (University of Wyoming), A. Weinberger (Carnegie Institution of Washington), A. Roberge (Goddard Space Flight Center), G. Schneider (University of Arizona/Steward Observatory), and A. Feild (STScI/AURA)  <b><a href=""http://www.nasa.gov/audience/formedia/features/MP_Photo_Guidelines.html"" rel=""nofollow"">NASA image use policy.</a></b>  <b><a href=""http://www.nasa.gov/centers/goddard/home/index.html"" rel=""nofollow"">NASA Goddard Space Flight Center</a></b> enables NASA’s mission through four scientific endeavors: Earth Science, Heliophysics, Solar System Exploration, and Astrophysics. Goddard plays a leading role in NASA’s accomplishments by contributing compelling scientific knowledge to advance the Agency’s mission.  <b>Follow us on <a href=""http://twitter.com/NASA_GoddardPix"" rel=""nofollow"">Twitter</a></b>  <b>Like us on <a href=""http://www.facebook.com/pages/Greenbelt-MD/NASA-Goddard/395013845897?ref=tsd"" rel=""nofollow"">Facebook</a></b>  <b>Find us on <a href=""http://instagram.com/nasagoddard?vm=grid"" rel=""nofollow"">Instagram</a></b>",vlm_images/GSFC_20171208_Archive_e001454.jpg
PIA10376,planet,Mars Radar Opens a Planet Third Dimension,Mars Radar Opens a Planet Third Dimension,vlm_images/PIA10376.jpg
PIA12365,planet,A Color View of the Solar System Innermost Planet,A Color View of the Solar System Innermost Planet,vlm_images/PIA12365.jpg
PIA01253,planet,Springtime on Mars: Hubble Best View of the Red Planet,Springtime on Mars: Hubble Best View of the Red Planet,vlm_images/PIA01253.jpg
PIA13477,planet,Long Scarps on Mercury Tell of the Planet Unique History,Long Scarps on Mercury Tell of the Planet Unique History,vlm_images/PIA13477.jpg
PIA17836,planet,Wobbly Planet Orbital Schematic Illustration,This illustration shows the unusual orbit of planet Kepler-413b around a close pair of orange and red dwarf stars. The planet 66-day orbit is tilted 2.5 degrees with respect to the plane of the binary stars orbit.,vlm_images/PIA17836.jpg
PIA18901,planet,Seeking Planets in the Dust Artist Concept,A dusty planetary system left is compared to another system with little dust in this artist concept. Dust can make it difficult for telescopes to image planets because light from the dust can outshine that of the planets.,vlm_images/PIA18901.jpg
PIA18926,planet,Planet With Four Stars Artist Concept,"This artist conception shows the 30 Ari system, which includes four stars and a planet. The planet, a gas giant, orbits its primary star yellow in about a year time.",vlm_images/PIA18926.jpg
PIA11390,planet,Light from Red-Hot Planet,"This figure charts 30 hours of observations taken by NASA Spitzer Space Telescope of a strongly irradiated exoplanet an planet orbiting a star beyond our own. Spitzer measured changes in the planet heat, or infrared light.",vlm_images/PIA11390.jpg
PIA04921,galaxy,Andromeda Galaxy,"This image is from NASA Galaxy Evolution Explorer is an observation of the large galaxy in Andromeda, Messier 31. The Andromeda galaxy is the most massive in the local group of galaxies that includes our Milky Way.",vlm_images/PIA04921.jpg
PIA04634,galaxy,Galaxy NGC5474,"NASA Galaxy Evolution Explorer took this ultraviolet color image of the galaxy NGC5474 on June 7, 2003. NGC5474 is located 20 million light-years from Earth and is within a group of galaxies dominated by the Messier 101 galaxy. Star formation in this galaxy shows some evidence of a disturbed spiral pattern, which may have been induced by tidal interactions with Messier 101.  http://photojournal.jpl.nasa.gov/catalog/PIA04634",vlm_images/PIA04634.jpg
PIA07906,galaxy,Virgo Galaxy Cluster,This ultraviolet image from NASA Galaxy Evolution Explorer is of a small area of the Virgo Cluster of galaxies.  http://photojournal.jpl.nasa.gov/catalog/PIA07906,vlm_images/PIA07906.jpg
PIA04623,galaxy,Galaxy UGC10445,"This ultraviolet color image of the galaxy UGC10445 was taken by NASA Galaxy Evolution Explorer on June 7 and June 14, 2003. UGC10445 is a spiral galaxy located 40 million light-years from Earth.  http://photojournal.jpl.nasa.gov/catalog/PIA04623",vlm_images/PIA04623.jpg
PIA04635,galaxy,Galaxy NGC5962,"NASA Galaxy Evolution Explorer took this ultraviolet color image of the galaxy NGC5962 on June 7, 2003. This spiral galaxy is located 90 million light-years from Earth.  http://photojournal.jpl.nasa.gov/catalog/PIA04635",vlm_images/PIA04635.jpg
PIA04633,galaxy,Galaxy NGC5398,"This is an ultraviolet color image of the galaxy NGC5398 taken by NASA Galaxy Evolution Explorer on June 7, 2003. NGC5398 is a barred spiral galaxy located 60 million light-years from Earth. The star formation is concentrated in the two bright regions of the image.  http://photojournal.jpl.nasa.gov/catalog/PIA04633",vlm_images/PIA04633.jpg
PIA15656,galaxy,Portrait of a Galaxy Life,"Evidence from NASA Galaxy Evolution Explorer supports the long-held notion that many galaxies begin life as smaller spirals before transforming into larger, elliptical-shaped galaxies.",vlm_images/PIA15656.jpg
PIA04629,galaxy,Galaxy Messier 83,"This image of the spiral galaxy Messier 83 was taken by NASA's Galaxy Evolution Explorer on June 7, 2003. Located 15 million light years from Earth and known as the Southern Pinwheel Galaxy, Messier 83 displays significant amounts of ultraviolet emissions far from the optically bright portion of the galaxy. It is also known to have an extended hydrogen disc that appears to radiate a faint ultraviolet emission. The red stars in the foreground of the image are Milky Way stars.  http://photojournal.jpl.nasa.gov/catalog/PIA04629",vlm_images/PIA04629.jpg
PIA08646,galaxy,Triple Scoop from Galaxy Hunter,"Located 10 million light-years away in the southern constellation Sculptor, the Silver Dollar galaxy, or NGC 253, is one of the brightest spiral galaxies in the night sky as seen in this edge-on view from NASA Galaxy Evolution Explorer.",vlm_images/PIA08646.jpg
PIA04624,galaxy,Galaxy Centaurus A,"This image of the active galaxy Centaurus A was taken by NASA's Galaxy Evolution Explorer on June 7, 2003. The galaxy is located 30 million light-years from Earth and is seen edge on, with a prominent dust lane across the major axis. In this image the near ultraviolet emission is represented as green, and the far ultraviolet emission as blue. The galaxy exhibits jets of high energy particles, which were traced by the X-ray emission and measured by NASA's Chandra X-ray Observatory. These X-ray emissions are seen as red in the image. Several regions of ultraviolet emission can be seen where the jets of high energy particles intersect with hydrogen clouds in the upper left corner of the image. The emission shown may be the result of recent star formation triggered by the compression of gas by the jet.  http://photojournal.jpl.nasa.gov/catalog/PIA04624",vlm_images/PIA04624.jpg
PIA04923,galaxy,Galaxy NGC 55,"This image of the nearby edge-on spiral galaxy NGC 55 was taken by Galaxy Evolution Explorer on September 14, 2003, during 2 orbits. This galaxy lies 5.4 million light years from our Milky Way galaxy and is a member of the ""local group"" of galaxies that also includes the Andromeda galaxy (M31), the Magellanic clouds, and 40 other galaxies. The spiral disk of NGC 55 is inclined to our line of sight by approximately 80 degrees and so this galaxy looks cigar-shaped. This picture is a combination of Galaxy Evolution Explorer images taken with the far ultraviolet (colored blue) and near ultraviolet detectors, (colored red). The bright blue regions in this image are areas of active star formation detected in the ultraviolet by Galaxy Evolution Explorer. The red stars in this image are foreground stars in our own Milky Way galaxy.   http://photojournal.jpl.nasa.gov/catalog/PIA04923",vlm_images/PIA04923.jpg
PIA20695,galaxy,Frankenstein Galaxy,"The galaxy UGC 1382 has been revealed to be far larger and stranger than previously thought. Astronomers relied on a combination of ground-based and space telescopes to uncover the true nature of this ""Frankenstein galaxy."" The composite image shows the same galaxy as viewed with different instruments. The component images are also available.  In the image at left, UGC 1382 appears to be a simple elliptical galaxy, based on optical data from the Sloan Digital Sky Survey (SDSS). But spiral arms emerged when astronomers incorporated ultraviolet data from the Galaxy Evolution Explorer (GALEX) and deep optical data from SDSS, as seen in the middle image. Combining that with a view of low-density hydrogen gas (shown in green), detected at radio wavelengths by the Very Large Array, scientists discovered that UGC 1382 is a giant, and one of the largest isolated galaxies known.  GALEX in particular was able detect very faint features because it operated from space, which is necessary for UV observations because ultraviolet light is absorbed by the Earth's atmosphere. Astronomers also used Stripe 82 of SDSS, a small region of sky where SDSS imaged the sky 80 times longer than the original standard SDSS survey. This enabled optical detection of much fainter features as well.  http://photojournal.jpl.nasa.gov/catalog/PIA20695",vlm_images/PIA20695.jpg
PIA04922,galaxy,Galaxy NGC 247,"This image of the dwarf spiral galaxy NGC 247 was taken by Galaxy Evolution Explorer on October 13, 2003, in a single orbit exposure of 1600 seconds. The region that looks like a ""hole"" in the upper part of the galaxy is a location with a deficit of gas and therefore a lower star formation rate and ultraviolet brightness. Optical images of this galaxy show a bright star on the southern edge. This star is faint and red in the Galaxy Evolution Explorer ultraviolet image, revealing that it is a foreground star in our Milky Way galaxy. The string of background galaxies to the North-East (upper left) of NGC 247 is 355 million light years from our Milky Way galaxy whereas NGC 247 is a mere 9 million light years away. The faint blue light that can be seen in the Galaxy Evolution Explorer image of the upper two of these background galaxies may indicate that they are in the process of merging together.   http://photojournal.jpl.nasa.gov/catalog/PIA04922",vlm_images/PIA04922.jpg
PIA14090,galaxy,Little Galaxies Pack a Big Punch,"These postage-stamp images taken by NASA Galaxy Evolution Explorer are helping to solve a mystery -- why do the littlest of galaxies produce the biggest of star explosions, or supernovae?",vlm_images/PIA14090.jpg
PIA07900,galaxy,"A Barred Spiral  Galaxy, and the Small Elliptical Companion Galaxy NGC 1097A","This ultraviolet image from NASA Galaxy Evolution Explorer shows the interacting pair NGC 1097, a barred spiral galaxy, and the small elliptical companion galaxy NGC 1097A.",vlm_images/PIA07900.jpg
PIA07142,galaxy,Baby Galaxies in the Adult Universe,"This artist's conception illustrates the decline in our universe's ""birth-rate"" over time. When the universe was young, massive galaxies were forming regularly, like baby bees in a bustling hive. In time, the universe bore fewer and fewer ""offspring,"" and newborn galaxies (white circles) matured into older ones more like our own Milky Way (spirals).  Previously, astronomers thought that the universe had ceased to give rise to massive, young galaxies, but findings from NASA's Galaxy Evolution Explorer suggest that may not be the case. Surveying thousands of nearby galaxies with its highly sensitive ultraviolet eyes, the telescope spotted three dozen that greatly resemble youthful galaxies from billions of years ago. In this illustration, those galaxies are represented as white circles on the right, or ""today"" side of the timeline.  The discovery not only suggests that our universe may still be alive with youth, but also offers astronomers their first close-up look at what appear to be baby galaxies. Prior to the new result, astronomers had to peer about 11 billion light-years into the distant universe to see newborn galaxies. The newfound galaxies are only about 2 to 4 billion light-years away.   http://photojournal.jpl.nasa.gov/catalog/PIA07142",vlm_images/PIA07142.jpg
astronomers-set-a-new-galaxy-distance-record_17389972462_o,galaxy,Astronomers Set a New Galaxy Distance Record,"This is a Hubble Space Telescope image of the farthest spectroscopically confirmed galaxy observed to date (inset). It was identified in this Hubble image of a field of galaxies in the CANDELS survey (Cosmic Assembly Near-infrared Deep Extragalactic Legacy Survey). NASA’s Spitzer Space Telescope also observed the unique galaxy. The W. M. Keck Observatory was used to obtain a spectroscopic redshift (z=7.7), extending the previous redshift record. Measurements of the stretching of light, or redshift, give the most reliable distances to other galaxies. This source is thus currently the most distant confirmed galaxy known, and it appears to also be one of the brightest and most massive sources at that time. The galaxy existed over 13 billion years ago. The near-infrared light image of the galaxy (inset) has been colored blue as suggestive of its young, and hence very blue, stars. The CANDELS field is a combination of visible-light and near-infrared exposures.  Credits: NASA, ESA, P. Oesch (Yale U.)",vlm_images/astronomers-set-a-new-galaxy-distance-record_17389972462_o.jpg
PIA04924,galaxy,Galaxy NGC 300,"This image of the nearby spiral galaxy NGC 300 was taken by Galaxy Evolution Explorer in a single orbit exposure of 27 minutes on October 10, 2003. NGC 300 lies 7 million light years from our Milky Way galaxy and is one of a group of galaxies in the constellation Sculptor. NGC 300 is often used as a prototype of a spiral galaxy because in optical images it displays flowing spiral arms and a bright central region of older (and thus redder) stars. The Galaxy Evolution Explorer image taken in ultraviolet light shows us that NGC 300 is an efficient star-forming galaxy. The bright blue regions in the Galaxy Evolution Explorer image reveal new stars forming all the way into the nucleus of NGC 300.   http://photojournal.jpl.nasa.gov/catalog/PIA04924",vlm_images/PIA04924.jpg
PIA12174,galaxy,Adding up Stars in a Galaxy,NASA Galaxy Evolution Explorer spacecraft and Cerro Tololo Inter-American Observatory combined data making this diagram illustratrating the extent to which astronomers have been underestimating the proportion of small to big stars in certain galaxies.,vlm_images/PIA12174.jpg
PIA11805,galaxy,Seeing Baby Dwarf Galaxies,"The unique ultraviolet vision of NASA Galaxy Evolution Explorer revealed, for the first time, dwarf galaxies forming out of nothing more than pristine gas likely leftover from the early universe.",vlm_images/PIA11805.jpg
PIA17246,galaxy,Galaxy Pencil-Thin Profile,"This image from NASA Galaxy Evolution Explorer shows NGC 4565, one of the nearest and brightest galaxies not included in the famous list by 18th-century comet hunter Charles Messier.",vlm_images/PIA17246.jpg
PIA07911,galaxy,Irregular Dwarf Galaxy IC 1613,This ultraviolet image left and visual image right from NASA Galaxy Evolution Explorer is of the irregular dwarf galaxy IC 1613.,vlm_images/PIA07911.jpg
PIA08787,galaxy,Amazing Andromeda Galaxy,"The many personalities of our great galactic neighbor, the Andromeda galaxy, are exposed in this new composite image from NASA Galaxy Evolution Explorer and Spitzer Space Telescope.",vlm_images/PIA08787.jpg
PIA04630,galaxy,Galaxy M101,"This three-color image of galaxy M101 was taken by NASA's Galaxy Evolution Explorer on June 20, 2003. The far ultraviolet emissions are shown in blue, the near ultraviolet emissions are green, and the red emissions, which were taken from NASA's Digital Sky Survey, represent visible light. This image combines short, medium, and long ""exposure"" pictures to best display the evolution of star formation in a spiral galaxy.  http://photojournal.jpl.nasa.gov/catalog/PIA04630",vlm_images/PIA04630.jpg
PIA07903,galaxy,Southern Pinwheel Galaxy M83,Ultraviolet images such as this one from NASA's Galaxy Evolution Explorer suggest the M83 has unusual pockets of star formation separated by large distances from the spiral arms in the main disk of the galaxy.  http://photojournal.jpl.nasa.gov/catalog/PIA07903,vlm_images/PIA07903.jpg
PIA04264,galaxy,New Galaxy Quest Readies for Launch,"In the Multi-Payload Processing Facility, workers check the deployment of the cover of the telescope on NASA Galaxy Evolution Explorer, an orbiting space telescope observing galaxies in ultraviolet light across 10 billion years of cosmic history.",vlm_images/PIA04264.jpg
PIA07220,galaxy,Mysterious Blob Galaxies Revealed,"This image composite shows a giant galactic blob (red) and the three merging galaxies NASA's Spitzer Space Telescope discovered within it (yellow).  Blobs are intensely glowing clouds of hot hydrogen gas that envelop faraway galaxies. They are about 10 times as large as the galaxies they surround. Visible-light images reveal the vast extent of blobs, but don't provide much information about their host galaxies.  Using its heat-seeking infrared eyes, Spitzer was able to see the dusty galaxies tucked inside one well-known blob located 11 billion light-years away. The findings reveal three monstrously bright galaxies, trillions of times brighter than the Sun, in the process of merging together.  Spitzer also observed three other blobs located in the same cosmic neighborhood, all of which were found to be glaringly bright. One of these blobs is also known to be a galactic merger, only between two galaxies instead of three. It remains to be seen whether the final two blobs studied also contain mergers.  The Spitzer data were acquired by its multiband imaging photometer. The visible-light image was taken by the Blanco Telescope at the Cerro Tololo Inter-American Observatory, Chile.  http://photojournal.jpl.nasa.gov/catalog/PIA07220",vlm_images/PIA07220.jpg
PIA04628,galaxy,Galaxy Messier 51,"NASA's Galaxy Evolution Explorer took this image of the spiral galaxy Messier 51 on June 19 and 20, 2003. Messier 51 is located 27 million light-years from Earth. Due to a lack of star formation, the companion galaxy in the top of the picture is barely visible as a near ultraviolet object.  http://photojournal.jpl.nasa.gov/catalog/PIA04628",vlm_images/PIA04628.jpg
PIA04213,galaxy,Edge-on Galaxy,"NASA Hubble Space Telescope has imaged an unusual edge-on galaxy, revealing remarkable details of its warped dusty disc and showing how colliding galaxies trigger the birth of new stars.",vlm_images/PIA04213.jpg
PIA07907,galaxy,"Diverse Group of Galaxy Types, NGC 3190 Field",This ultraviolet image from NASA Galaxy Evolution Explorer is of a diverse group of galaxy types. NGC 3190 is a dusty edge on spiral galaxy. NGC 3187 is highly distorted.,vlm_images/PIA07907.jpg
PIA10600,galaxy,Galaxy Evolution Explorer Celebrates Five Years in Space,"Since its launch five years ago, the Galaxy Evolution Explorer has photographed hundreds of millions of galaxies in ultraviolet light. M106 is one of those galaxies, 22 light years away, it strikes a pose in blue and gold for this new commemorative portrait.  The galaxy's extended arms are the blue filaments that curve around its edge, creating its outer disk. Tints of blue in M106's arms reveal hot, young massive stars. Traces of gold toward the center show an older stellar population and indicate the presence of obscuring dust.  From 24 million light-years away, neighboring galaxy NGC 4248 also makes a memorable appearance, sitting just right of M106. The irregular galaxy looks like a yellow smudge, with a bluish-white bar in the center. The galaxy's outer golden glow indicates a population of older stars, while the blue central region shows a younger stellar demographic.  Dwarf galaxy UGC 7365 emerges at the bottom center of this image, as a faint yellow smudge directly below M106. This galaxy is not forming any new stars, and looks much smaller than M106 despite being closer to Earth, at 14 million light-years away.  Over the past five years, the Galaxy Evolution Explorer has imaged half a billion objects over 27,000 square degrees of sky —equivalent to an area that would be covered by 138,000 full moons. The telescope orbits Earth every 94 minutes and travels approximately 408,470 million miles per day. Its overarching question is: how do galaxies grow and change over 10 billion years of cosmic history?  M106, also known as NGC 4258, is located in the constellation Canes Venatici. This image is a two-color composite, where far-ultraviolet light is blue, and near-ultraviolet light is red.   http://photojournal.jpl.nasa.gov/catalog/PIA10600",vlm_images/PIA10600.jpg
PIA17554,galaxy,Galaxies Grow from Inside Out,"Evidence from NASA Wide-field Infrared Survey Explorer and Galaxy Evolution Explorer missions provide support for the inside-out theory of galaxy evolution, which holds that star formation starts at the core of the galaxy and spreads outward.",vlm_images/PIA17554.jpg
PIA14417,nebula,Weighing in on the Dumbbell Nebula,"The Dumbbell nebula, also known as Messier 27, pumps out infrared light in this image from NASA Spitzer Space Telescope. Planetary nebulae are now known to be the remains of stars that once looked a lot like our sun.",vlm_images/PIA14417.jpg
